    cli,Bubble,Shell,Insertion,Selection,Quick
jv,21,3,9,13,1
jv,32,2,10,13,1
jv,21,2,9,15,1
jv,21,3,9,14,1
jv,37,3,10,15,1
jv,23,3,9,14,1
jv,31,3,11,14,1
jv,22,2,10,13,1
jv,26,2,13,12,1
jv,21,2,10,13,1
jv,23,3,10,14,1
jv,30,3,9,14,1
jv,22,2,10,13,1
jv,22,3,10,14,1
jv,22,2,10,13,1
jv,23,2,9,13,1
jv,30,3,11,15,1
jv,30,3,10,14,1
jv,23,3,13,14,1
jv,30,3,12,14,1
jv,23,3,10,14,1
jv,36,3,12,15,1
jv,22,2,10,15,1
jv,31,2,9,13,1
jv,23,2,10,14,2
jv,25,3,10,15,1
jv,26,2,10,14,1
jv,33,3,12,15,1
jv,22,2,9,13,1
jv,24,2,13,15,1
jv,24,3,11,15,1
jv,40,3,10,15,1
jv,24,3,11,14,1
jv,23,2,10,14,1
jv,24,2,11,14,1
jv,27,2,9,14,1
jv,24,3,13,17,1
jv,24,2,10,15,1
jv,23,3,11,14,1
jv,28,2,11,15,1
jv,27,3,11,15,1
jv,30,2,10,14,1
jv,31,3,14,16,1
jv,24,2,11,16,1
jv,27,3,13,16,1
jv,39,2,11,15,1
jv,25,3,13,15,1
jv,34,3,12,17,1
jv,86,3,20,40,1
jv,25,3,11,15,1
jv,27,2,11,15,1
jv,27,3,11,16,1
jv,41,2,14,15,1
jv,24,2,10,14,1
jv,25,2,10,15,1
jv,26,3,12,15,1
jv,26,2,10,15,1
jv,27,3,13,16,1
jv,26,2,14,17,1
jv,27,3,17,20,1
jv,77,3,13,20,1
jv,26,2,11,16,1
jv,26,2,11,15,1
jv,26,3,11,16,1
jv,40,2,13,15,1
jv,26,3,12,16,1
jv,27,3,11,16,1
jv,27,3,11,16,1
jv,40,3,14,18,1
jv,29,3,16,17,1
jv,26,3,20,18,1
jv,28,3,12,17,1
jv,26,2,10,15,1
jv,27,3,11,16,1
jv,38,3,14,22,2
jv,36,3,13,17,1
jv,35,3,20,18,1
jv,42,2,11,15,1
jv,28,2,14,17,1
jv,38,2,17,16,1
jv,44,2,13,15,1
jv,33,2,11,16,1
jv,33,2,11,16,1
jv,46,2,11,16,1
jv,27,2,21,16,1
jv,39,2,18,16,1
jv,33,2,11,16,1
jv,36,2,11,16,1
jv,43,3,14,22,1
jv,29,2,13,16,1
jv,38,2,11,16,1
jv,30,2,11,16,1
jv,27,2,12,17,1
jv,34,2,11,16,1
jv,30,3,12,18,1
jv,40,2,12,16,1
jv,37,2,11,16,1
jv,44,3,12,16,1
jv,31,3,12,17,1
jv,37,3,11,17,1
jv,45,3,15,19,1
jv,36,2,13,16,1
jv,35,2,11,17,1
jv,32,3,20,17,1
jv,35,2,12,18,1
jv,44,2,12,17,1
jv,39,3,12,17,1
jv,31,3,12,17,1
jv,33,2,14,18,1
jv,36,3,14,18,1
jv,31,3,19,18,1
jv,37,2,12,17,1
jv,38,2,12,17,1
jv,46,3,12,18,1
jv,76,3,13,18,1
jv,36,3,17,17,1
jv,30,3,13,17,1
jv,42,2,12,17,1
jv,36,2,12,17,1
jv,47,3,14,20,1
jv,36,2,12,17,1
jv,38,2,12,17,1
jv,44,2,12,18,1
jv,31,2,12,18,1
jv,44,2,15,18,1
jv,50,3,13,19,1
jv,50,2,24,18,1
jv,36,2,12,18,1
jv,46,3,22,18,1
jv,31,3,12,18,1
jv,48,2,12,18,1
jv,40,3,15,20,1
jv,38,2,13,18,1
jv,76,2,20,41,1
jv,46,2,12,16,2
jv,46,2,17,19,1
jv,32,3,12,18,2
jv,74,2,15,19,1
jv,33,2,16,18,1
jv,47,2,22,19,1
jv,44,3,15,19,1
jv,43,2,12,19,1
jv,35,2,12,18,1
jv,39,3,13,20,1
jv,45,2,12,19,1
jv,41,2,18,19,1
jv,42,2,12,19,1
jv,38,3,13,20,1
jv,42,2,12,19,1
jv,41,3,14,21,1
jv,52,3,13,19,1
jv,55,2,13,19,1
jv,37,2,20,20,1
jv,33,3,22,20,1
jv,37,2,13,19,1
jv,37,3,23,22,1
jv,39,2,14,20,1
jv,39,2,13,19,1
jv,57,2,13,19,1
jv,43,2,13,19,1
jv,43,2,13,19,1
jv,34,3,16,20,1
jv,42,2,13,19,1
jv,38,3,13,20,2
jv,53,2,13,19,1
jv,45,2,14,20,1
jv,47,2,13,19,1
jv,43,2,15,20,1
jv,45,2,14,20,1
jv,46,2,13,20,1
jv,53,2,13,20,1
jv,39,2,14,20,1
jv,50,2,14,20,1
jv,36,2,16,20,1
jv,47,3,15,22,1
jv,54,3,17,20,1
jv,45,2,13,20,1
jv,44,3,14,21,1
jv,75,2,14,22,1
jv,45,2,13,21,1
jv,45,3,21,24,1
jv,50,3,13,20,1
jv,49,3,14,20,2
jv,43,2,13,21,2
jv,79,2,13,21,1
jv,42,2,14,21,1
jv,53,2,22,21,1
jv,66,2,14,21,1
jv,42,3,14,21,2
jv,43,2,14,21,1
jv,46,3,15,22,2
jv,50,3,14,21,1
jv,42,2,14,22,1
jv,49,3,21,23,1
jv,37,3,14,21,1
jv,46,2,14,22,1
jv,59,3,14,22,1
jv,55,3,14,21,1
jv,43,2,14,21,1
jv,46,2,15,22,1
jv,58,3,14,21,1
jv,42,3,14,21,1
jv,42,3,14,22,1
jv,48,3,16,22,1
jv,52,3,14,22,1
jv,49,3,15,23,1
jv,45,2,14,22,2
jv,44,2,14,22,1
jv,45,3,15,23,1
jv,49,3,15,23,2
jv,41,2,15,23,1
jv,43,3,18,26,2
jv,46,3,14,22,1
jv,50,3,15,23,1
jv,80,2,15,23,1
jv,54,2,28,22,1
jv,56,2,15,22,2
jv,51,3,15,24,2
jv,47,2,15,23,1
jv,45,3,15,23,2
jv,47,2,15,23,1
jv,53,2,15,23,1
jv,50,2,16,23,1
jv,56,2,22,25,2
jv,59,3,15,23,1
jv,51,3,15,23,2
jv,50,3,25,23,1
jv,50,2,15,23,1
jv,47,2,15,24,1
jv,44,2,15,24,1
jv,56,3,24,24,2
jv,57,2,15,24,2
jv,46,2,15,23,1
jv,52,2,27,23,1
jv,53,2,15,23,1
jv,48,2,15,24,1
jv,52,3,16,24,1
jv,51,2,15,24,2
jv,46,2,16,24,2
jv,48,3,16,24,1
jv,52,3,16,24,1
jv,48,2,16,24,1
jv,56,2,16,25,1
jv,61,3,17,25,2
jv,54,3,21,28,1
jv,62,3,16,25,1
jv,45,2,16,25,1
jv,44,3,21,26,1
jv,55,3,17,26,2
jv,52,3,16,24,1
jv,45,2,16,24,2
jv,66,3,16,25,2
jv,52,2,15,24,1
jv,47,3,16,25,2
jv,62,3,19,28,2
jv,47,2,16,25,1
jv,48,2,16,25,1
jv,48,3,20,25,2
jv,52,3,17,27,2
jv,54,3,16,26,2
jv,56,3,20,28,2
jv,54,3,16,25,2
jv,66,3,17,25,1
jv,65,2,17,25,1
jv,59,3,16,25,1
jv,62,2,27,25,1
jv,48,3,19,28,2
jv,59,3,19,29,2
jv,56,3,17,27,2
jv,55,3,18,28,2
jv,54,3,17,27,2
jv,55,3,19,27,2
jv,54,3,20,30,2
jv,55,3,18,28,2
jv,61,3,25,30,2
jv,50,3,18,28,2
jv,60,3,19,29,2
jv,68,3,25,30,2
jv,54,3,18,29,2
jv,52,3,21,28,2
jv,49,3,18,27,1
jv,63,3,19,29,2
jv,59,3,18,28,2
jv,57,3,22,31,2
jv,54,3,24,27,2
jv,61,3,19,30,2
jv,51,3,19,28,2
jv,58,3,26,31,2
jv,56,3,19,29,2
jv,68,3,27,32,2
jv,104,3,30,30,2
jv,53,3,19,29,2
jv,57,3,18,28,1
jv,54,3,17,27,2
jv,73,3,21,31,2
jv,58,3,27,32,2
jv,58,3,18,29,2
jv,60,3,29,29,2
jv,60,3,20,31,2
jv,59,3,19,30,2
jv,53,3,21,30,2
jv,56,3,20,29,2
jv,52,3,19,28,2
jv,52,3,18,28,1
jv,58,3,20,30,2
jv,56,3,18,29,2
jv,62,3,24,33,2
jv,56,3,20,32,2
jv,52,3,19,28,2
jv,59,3,20,29,2
jv,59,3,19,30,2
jv,59,3,20,30,2
jv,63,3,22,31,2
jv,62,3,20,30,2
jv,53,3,19,30,2
jv,58,3,18,28,2
jv,64,3,18,28,2
jv,55,3,18,29,2
jv,59,3,19,29,2
jv,54,3,21,30,2
jv,77,3,21,30,2
jv,68,3,19,29,2
jv,55,3,18,29,2
jv,60,3,19,29,2
jv,61,3,22,33,2
jv,63,3,20,32,2
jv,57,3,21,32,2
jv,61,3,21,31,2
jv,54,3,19,29,2
jv,70,3,19,31,2
jv,111,3,22,34,2
jv,63,3,22,33,2
jv,66,3,25,35,2
jv,63,3,21,33,2
jv,65,3,24,32,2
jv,73,3,23,35,2
jv,58,3,20,32,2
jv,66,3,21,32,2
jv,70,3,30,35,2
jv,63,3,20,31,2
jv,68,3,23,34,2
jv,63,3,20,30,2
jv,69,3,26,36,2
jv,69,3,21,34,2
jv,66,3,20,32,2
jv,64,3,20,32,2
jv,67,3,31,36,2
jv,60,3,21,33,2
jv,66,3,32,34,2
jv,62,3,23,33,2
jv,61,3,23,33,2
jv,62,3,22,33,2
jv,68,4,25,37,2
jv,76,3,27,35,2
jv,63,3,21,33,2
jv,61,3,22,34,2
jv,70,3,22,34,2
jv,65,3,20,33,2
jv,63,3,20,32,2
jv,63,3,19,31,2
jv,68,3,22,35,2
jv,68,3,24,34,2
jv,76,4,29,42,2
jv,68,3,23,37,2
jv,71,3,25,36,2
jv,67,3,22,35,2
jv,71,3,24,37,2
jv,65,3,34,37,2
jv,69,3,29,37,2
